,id,lat,lon,time
83884,3098671,14.08188888888889,68.68213888888889,2010-06-19
83885,3098678,12.517222222222223,70.62250000000002,2010-06-19
83886,3098682,18.476,70.35433333333334,2010-06-19
83999,60492,5.268857142857143,59.51657142857143,2010-06-28
84082,98672,12.810555555555554,70.42922222222222,2010-06-28
84083,98673,17.783833333333334,61.156583333333316,2010-06-28
84084,98674,13.096749999999998,73.065,2010-06-28
84085,98675,10.263,72.56661111111113,2010-06-28
84143,3098671,13.277666666666667,70.48694444444445,2010-06-28
84144,3098678,10.402833333333335,70.84736111111111,2010-06-28
84145,3098682,17.417972222222218,70.76716666666665,2010-06-28
84258,60492,5.474423076923076,63.250653846153874,2010-07-07
84341,98672,11.846444444444444,71.87422222222223,2010-07-07
84342,98673,17.337444444444444,61.542027777777776,2010-07-07
84343,98674,11.922222222222224,74.13605555555554,2010-07-07
84344,98675,8.993916666666667,73.82202777777776,2010-07-07
84402,3098671,12.293916666666666,71.63919444444444,2010-07-07
84403,3098678,9.064305555555556,71.5051388888889,2010-07-07
84404,3098682,16.506416666666667,70.81066666666666,2010-07-07
84517,60492,5.655694444444445,65.81313888888889,2010-07-16
84594,90485,5.205647058823529,59.59017647058823,2010-07-16
84600,98672,11.345,72.67225,2010-07-16
84601,98673,17.77458333333333,64.0035,2010-07-16
84602,98674,10.561166666666665,74.26449999999998,2010-07-16
84603,98675,7.341733333333334,74.53026666666666,2010-07-16
84661,3098671,11.247250000000001,72.8441666666667,2010-07-16
84662,3098678,7.695194444444447,72.72236111111111,2010-07-16
84663,3098682,15.936472222222221,71.34016666666668,2010-07-16
84776,60492,6.091583333333333,66.33730555555559,2010-07-25
84853,90485,5.275142857142856,60.56657142857142,2010-07-25
84860,98673,18.15191666666666,66.35325,2010-07-25
84861,98674,9.80025,74.91149999999999,2010-07-25
84920,3098671,9.753888888888888,74.16719444444445,2010-07-25
84921,3098678,5.680285714285714,73.93471428571429,2010-07-25
84922,3098682,15.043972222222221,72.00752777777778,2010-07-25
85035,60492,5.719434782608697,67.38586956521738,2010-08-03
85119,98673,17.90475,68.38550000000001,2010-08-03
85122,98676,8.97378125,74.41615625000001,2010-08-03
85179,3098671,8.633194444444445,74.67477777777776,2010-08-03
85181,3098682,13.78775,72.8071111111111,2010-08-03
85371,90485,5.1852307692307695,62.40353846153846,2010-08-12
85378,98673,17.55938888888888,69.95249999999997,2010-08-12
85381,98676,8.24377777777778,74.38116666666667,2010-08-12
85438,3098671,8.0174,74.8692,2010-08-12
85440,3098682,12.297583333333334,72.90705555555554,2010-08-12
85637,98673,16.648555555555557,71.18797222222223,2010-08-21
85640,98676,6.593333333333334,74.64702777777777,2010-08-21
85699,3098682,11.001083333333334,72.84497222222224,2010-08-21
85896,98673,15.851749999999997,72.43650000000001,2010-08-30
85958,3098682,9.453333333333337,72.5866111111111,2010-08-30
86148,90485,5.332259259259258,64.44859259259259,2010-09-08
86155,98673,14.76116,73.75316000000001,2010-09-08
86217,3098682,8.933833333333334,73.07066666666668,2010-09-08
86476,3098682,8.493444444444444,73.7123888888889,2010-09-17
86676,98676,6.824,74.99,2010-09-26
86735,3098682,9.150749999999999,73.93644444444445,2010-09-26
86935,98676,6.745,74.96466666666667,2010-10-05
86994,3098682,9.265777777777778,74.08155555555555,2010-10-05
87253,3098682,8.20122222222222,74.2811388888889,2010-10-14
87512,3098682,6.657166666666667,73.95180555555555,2010-10-23
87703,90513,5.4925,56.90875,2010-11-01
87712,98676,10.4304,74.8836,2010-11-01
87771,3098682,5.95636111111111,74.04672222222221,2010-11-01
87962,90513,6.458527777777778,56.63683333333334,2010-11-10
87971,98676,11.476388888888884,74.3467222222222,2010-11-10
88030,3098682,6.483472222222222,73.83705555555557,2010-11-10
88221,90513,6.54236111111111,57.52211111111111,2010-11-19
88230,98676,13.341680000000002,73.9642,2010-11-19
88289,3098682,8.0898,74.3982,2010-11-19
88480,90513,5.685210526315789,58.27468421052632,2010-11-28
88548,3098682,7.0,74.99600000000001,2010-11-28
88807,3098682,7.348516129032257,74.54596774193547,2010-12-07
89066,3098682,7.36725,74.17641666666667,2010-12-16
89325,3098682,7.948361111111113,73.58244444444443,2010-12-25
89584,3098682,8.3554,73.06199999999998,2011-01-03
93130,81828,5.3695,49.18725,2011-05-09
93388,81824,7.3776666666666655,51.08636666666666,2011-05-18
93389,81828,7.3495277777777765,52.07541666666668,2011-05-18
93647,81824,6.403972222222224,54.66516666666667,2011-05-27
93648,81828,7.530888888888888,55.30469444444444,2011-05-27
93906,81824,8.733583333333335,57.03425000000001,2011-06-05
93907,81828,7.91127777777778,57.62852777777779,2011-06-05
94165,81824,8.054250000000001,58.17394444444445,2011-06-14
94166,81828,5.5288055555555555,58.87174999999999,2011-06-14
94424,81824,9.608027777777776,59.750694444444434,2011-06-23
94425,81828,7.2265,57.910888888888884,2011-06-23
94683,81824,6.996722222222221,60.49758333333331,2011-07-02
